а - абсолютная частота(встречается в тексте раз): 19, относительная частота: 0.007658202
ни - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
колени - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
времени - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
имени - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
болезни - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
жизни - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
заткни - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
они - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
пустыни - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
свои - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
мои - абсолютная частота(встречается в тексте раз): 3, относительная частота: 0.0012091899
степи - абсолютная частота(встречается в тексте раз): 4, относительная частота: 0.0016122531
матери - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
при - абсолютная частота(встречается в тексте раз): 4, относительная частота: 0.0016122531
смотри - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
бури - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
неси - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
полати - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
стати - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
подвезти - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
смерти - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
черти - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
вырасти - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
отчасти - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
вести - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
довести - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
поднести - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
забрести - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
милости - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
пути - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
почти - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
шестидесяти - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
речи - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
молчи - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
ваши - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
наши - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
души - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
сворачивай - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
дай - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
поезжай - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
чай - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
послушай - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
ей - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
гей - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
божией - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
рублей - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
крайней - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
вчерашней - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
твоей - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
моей - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
степей - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
андрей - абсолютная частота(встречается в тексте раз): 3, относительная частота: 0.0012091899
полатей - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
милостей - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
нашей - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
следующей - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
настоящей - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
свежий - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
мелкий - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
семеновский - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
барский - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
немецкий - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
яицкий - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
новешенький - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
лесничий - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
заячий - абсолютная частота(встречается в тексте раз): 4, относительная частота: 0.0016122531
свой - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
твой - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
другой - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
твердой - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
какой - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
такой - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
узкой - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
белой - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
мой - абсолютная частота(встречается в тексте раз): 8, относительная частота: 0.0032245063
необозримой - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
снежной - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
черной - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
ослепительной - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
свирепой - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
охотой - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
стой - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
тихой - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
поцелуй - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
помилуй - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
фуй - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
милостивый - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
полинялый - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
постоялый - абсолютная частота(встречается в тексте раз): 3, относительная частота: 0.0012091899
незнакомый - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
дорожный - абсолютная частота(встречается в тексте раз): 4, относительная частота: 0.0016122531
оборванный - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
убаюканный - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
пораженный - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
отдаленный - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
страшный - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
иносказательный - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
посажёный - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
старый - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
добрый - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
бодрый - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
который - абсолютная частота(встречается в тексте раз): 3, относительная частота: 0.0012091899
вожатый - абсолютная частота(встречается в тексте раз): 3, относительная частота: 0.0012091899
убитый - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
эй - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
погоняй - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
к - абсолютная частота(встречается в тексте раз): 15, относительная частота: 0.006045949
казак - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
как - абсолютная частота(встречается в тексте раз): 12, относительная частота: 0.0048367595
кое-как - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
признак - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
мрак - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
так - абсолютная частота(встречается в тексте раз): 8, относительная частота: 0.0032245063
век - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
человек - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
поперек - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
дождик - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
мужик - абсолютная частота(встречается в тексте раз): 5, относительная частота: 0.0020153164
велик - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
холмик - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
разбойник - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
старик - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
тулупчик - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
ямщик - абсолютная частота(встречается в тексте раз): 11, относительная частота: 0.004433696
волк - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
полк - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
кружок - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
узок - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
восток - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
мужичок - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
облучок - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
поговорк - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
армяк - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
клевал - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
позвал - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
посматривал - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
почивал - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
потребовал - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
чувствовал - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
свирепствовал - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
советовал - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
поглядывал - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
дергал - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
дал - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
отобедал - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
отведал - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
подал - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
лежал - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
приказал - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
сказал - абсолютная частота(встречается в тексте раз): 15, относительная частота: 0.006045949
указал - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
поскакал - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
кликал - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
задремал - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
вздумал - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
подумал - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
знал - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
напоминал - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
простонал - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
засыпал - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
распечатал - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
летал - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
стал - абсолютная частота(встречается в тексте раз): 9, относительная частота: 0.0036275694
попутал - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
приехал - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
въехал - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
охал - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
слыхал - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
отвечал - абсолютная частота(встречается в тексте раз): 10, относительная частота: 0.004030633
закричал - абсолютная частота(встречается в тексте раз): 3, относительная частота: 0.0012091899
молчал - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
ворчал - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
слушал - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
ввел - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
надел - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
обидел - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
увидел - абсолютная частота(встречается в тексте раз): 6, относительная частота: 0.0024183798
сидел - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
глядел - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
велел - абсолютная частота(встречается в тексте раз): 3, относительная частота: 0.0012091899
успел - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
сел - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
засел - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
хотел - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
почел - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
зашел - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
вошел - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
подошел - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
пошел - абсолютная частота(встречается в тексте раз): 3, относительная частота: 0.0012091899
вышел - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
проводил - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
ходил - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
походил - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
заложил - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
предложил - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
напроказил - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
возразил - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
скользил - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
валил - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
повалил - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
изволил - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
устремил - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
исполнил - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
изъяснил - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
выпил - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
благодарил - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
говорил - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
заспорил - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
повторил - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
спросил - абсолютная частота(встречается в тексте раз): 4, относительная частота: 0.0016122531
выхватил - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
встретил - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
опустил - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
вскочил - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
мигнул - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
выпрыгнул - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
заснул - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
вынул - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
взглянул - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
выглянул - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
потянул - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
был - абсолютная частота(встречается в тексте раз): 10, относительная частота: 0.004030633
позабыл - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
выл - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
завыл - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
взял - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
принял - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
вам - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
швам - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
звездам - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
господам - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
предрассудкам - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
нам - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
ценам - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
сам - абсолютная частота(встречается в тексте раз): 3, относительная частота: 0.0012091899
там - абсолютная частота(встречается в тексте раз): 3, относительная частота: 0.0012091899
гм - абсолютная частота(встречается в тексте раз): 3, относительная частота: 0.0012091899
найдем - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
неудовольствием - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
ослушанием - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
мнением - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
пением - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
нетерпением - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
подозрением - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
нем - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
своем - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
втроем - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
морем - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
сем - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
совсем - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
тем - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
зачем - абсолютная частота(встречается в тексте раз): 3, относительная частота: 0.0012091899
савельичем - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
нашем - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
товарищем - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
заячьем - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
низким - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
глубоким - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
ним - абсолютная частота(встречается в тексте раз): 3, относительная частота: 0.0012091899
одним - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
тогдашним - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
моим - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
просим - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
спешим - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
кипящим - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
первом - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
беспокойством - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
шагом - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
снегом - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
другом - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
кругом - абсолютная частота(встречается в тексте раз): 3, относительная частота: 0.0012091899
видом - абсолютная частота(встречается в тексте раз): 3, относительная частота: 0.0012091899
родом - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
человеком - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
подарком - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
симбирском - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
слишком - абсолютная частота(встречается в тексте раз): 2, относительная частота: 8.0612657E-4
камушком - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
худеньком - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
генералом - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
фельдмаршалом - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
столом - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
самом - абсолютная частота(встречается в тексте раз): 3, относительная частота: 0.0012091899
дымом - абсолютная частота(встречается в тексте раз): 1, относительная частота: 4.0306328E-4
